sex,age,RACE,time_since_symptoms,time_to_primary,time_to_comprehensive,transfer_time,Percent Primary,Percent Comprehensive,Percent Drip and Ship,QALYS Primary,QALYs Comprehensive,QALYs Drip and Ship,Costs Primary,Costs Comprehensive,Costs Drip and Ship,Horizon
Sex.FEMALE,70,3.0,30.0,31.0,53.0,62.0,0,55.0,45.0,7.21,7.22,7.22,22415.09,21951.57,21982.24,10
Sex.FEMALE,70,5.0,30.0,31.0,53.0,62.0,0,86.0,14.0,7.0,7.04,7.03,26003.85,24242.28,24459.82,10
Sex.FEMALE,70,3.0,70.0,31.0,53.0,62.0,0,43.0,57.0,7.2,7.21,7.21,22880.92,22520.87,22503.82,10
Sex.FEMALE,70,5.0,70.0,31.0,53.0,62.0,0,73.0,27.0,6.98,7.02,7.02,26592.08,25063.61,25229.28,10
Sex.MALE,80,4.0,45.0,14.0,59.0,60.0,0,5.0,95.0,5.3,5.31,5.32,32293.2,32055.95,31928.01,10
Sex.MALE,80,6.0,45.0,14.0,59.0,60.0,0,20.0,80.0,5.12,5.16,5.16,33098.09,32226.61,32149.51,10
Sex.MALE,80,4.0,90.0,14.0,59.0,60.0,0,0,100.0,5.29,5.3,5.3,32572.21,32400.72,32246.19,10
Sex.MALE,80,6.0,90.0,14.0,59.0,60.0,0,15.0,85.0,5.11,5.14,5.15,33405.47,32592.07,32502.12,10
Sex.FEMALE,65,3.0,10.0,37.0,91.0,117.0,0,11.0,89.0,7.52,7.53,7.53,21167.25,21098.62,20850.67,10
Sex.FEMALE,65,3.0,70.0,37.0,91.0,117.0,0,6.0,94.0,7.51,7.51,7.51,21988.41,22076.16,21725.49,10
Sex.FEMALE,65,8.0,10.0,37.0,91.0,117.0,0,98.0,2.0,6.96,7.05,7.04,29471.92,24853.3,25573.79,10
Sex.FEMALE,65,8.0,70.0,37.0,91.0,117.0,0,98.0,2.0,6.94,7.03,7.01,30349.68,26183.26,26850.51,10
Sex.FEMALE,70,2.6736401673640167,30.0,31.15,47.7,26.95,0,42.0,58.0,7.24,7.24,7.24,21389.73,21050.81,21014.75,10
Sex.FEMALE,70,4.347280334728033,30.0,31.15,47.7,26.95,0,51.0,49.0,7.04,7.07,7.07,23996.82,22715.23,22711.27,10
Sex.FEMALE,70,6.02092050209205,30.0,31.15,47.7,26.95,0,66.0,34.0,6.8,6.87,6.86,24330.21,21539.41,21597.09,10
